Registrar,Enrolment Agency,State,District,Sub District,Pin Code,Gender,Age,Aadhaar generated,Enrolment Rejected,Residents providing email,Residents providing mobile number
 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer Kangra,Himachal Pradesh,Kangra,Khundian,176030,M,0,0,1,0,0
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Bahraich,Kaiserganj,271901,F,21,1,0,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Bara Banki,Sirauli Gauspur,225207,F,26,1,0,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,201301,F,22,0,1,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,201301,M,4,1,0,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Jaunpur,Shahganj,223101,F,8,1,0,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Jaunpur,Shahganj,223101,F,28,1,0,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Jaunpur,Shahganj,223101,F,35,1,0,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Meerut,Mawana,250401,F,7,0,1,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Meerut,Mawana,250401,M,25,0,1,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Muzaffarnagar,Jansath,251314,F,1,1,0,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Muzaffarnagar,Jansath,251320,F,6,1,0,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Sultanpur,Sultanpur,228119,F,6,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Bongaigaon,Bongaigaon,783380,F,32,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Cachar,Meherpur,788005,M,25,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Chirang,Bijni,783393,F,27,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Chirang,Bijni,783393,F,33,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Chirang,Bijni,783393,F,49,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Darrang,Mangaldoi,784115,F,23,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Darrang,Mangaldoi,784125,F,47,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Darrang,Mangaldoi,784125,M,21,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Darrang,Mangaldoi,784125,M,31,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Darrang,Mangaldoi,784125,M,45,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Darrang,Mangaldoi,784125,M,52,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Darrang,Sipajhar,784145,M,23,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Dibrugarh East,786008,F,39,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Dibrugarh East,786010,F,43,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Dibrugarh East,786010,M,30,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Dibrugarh West,786001,F,29,2,0,0,2
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Naharkatiya,786602,M,35,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Naharkatiya,786610,F,36,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Naharkatiya,786610,F,51,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Naharkatiya,786610,F,60,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Naharkatiya,786610,M,42,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Naharkatiya,786610,M,46,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Tengakhat,786602,F,42,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Tengakhat,786602,M,45,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup,Boko,781135,M,27,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup,Chhaygaon,781124,F,35,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup,GMC,781012,M,31,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup,GMC,781012,M,39,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781005,M,32,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781005,M,45,0,1,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781006,F,29,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781006,M,33,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781007,F,55,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781007,M,43,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781029,M,41,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781038,M,33,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781001,M,54,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781003,F,18,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781009,F,41,0,1,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781021,F,38,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781021,M,24,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781040,F,49,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781171,F,26,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Sonapur,781027,F,47,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Nagaon,Nagaon,782003,M,41,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Tinsukia,Doom Dooma,786151,M,23,1,0,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Assam,Sonitpur,Dhekiajuli (pt),784110,F,19,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Bihar,Patna,Patna Sadar,800003,F,12,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Delhi,South West Delhi,Vasant Vihar,110070,F,32,1,0,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Jalna,Bhokardan,431132,F,2,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai City,Mumbai City,400025,F,6,1,0,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Andheri,400050,F,27,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Andheri,400050,F,30,0,1,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Andheri,400050,F,50,1,0,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Borivali,400092,F,5,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Kurla,400076,M,2,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Kurla,400082,F,52,1,0,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Nagpur,Nagpur,440022,F,3,1,0,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Ambarnath,421503,F,57,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Kalyan,421201,F,4,2,0,0,2
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Kalyan,421301,F,74,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Agra,Kiraoli,282001,F,5,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Allahabad,Phulpur,211019,F,18,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Azamgarh,Lalganj,276201,F,9,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Banda,Banda,210001,F,17,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Ghazipur,Jakhanian,233303,F,9,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Kalpi,285202,F,11,2,0,0,2
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Kalpi,285202,F,12,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Kalpi,285203,F,10,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Kalpi,285203,F,34,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Madhogarh,285126,F,72,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Madhogarh,285126,M,38,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kheri,Lakhimpur,262701,F,7,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kheri,Lakhimpur,262701,F,42,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kheri,Lakhimpur,262721,F,4,2,0,0,2
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kheri,Lakhimpur,262726,F,37,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kheri,Lakhimpur,262728,F,2,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kushinagar,Padrauna,274304,F,5,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kushinagar,Padrauna,274304,F,11,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Sitapur,Laharpur,261135,F,2,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Sitapur,Laharpur,261135,F,3,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Hooghly,Hooghly,712138,F,6,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Hooghly,Hooghly,712138,F,8,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Kolkata,Circus Avenue,700032,F,42,0,1,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Kolkata,Kolkata,700006,F,10,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Nadia,Chakdah,741245,F,34,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Nadia,Ranaghat - II,741202,M,28,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Nadia,Ranaghat - II,741501,M,12,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Nadia,Ranaghat - II,741501,M,13,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,North 24 Parganas,Barasat - I,743248,M,21,1,0,0,1
